,track
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,2
9,2
10,2
11,2
12,2
13,3
14,3
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,6
37,6
38,7
39,8
40,10
41,11
42,11
43,11
44,12
45,12
46,12
47,12
48,12
49,12
50,14
51,15
52,16
53,16
54,16
55,17
56,21
57,23
58,24
59,24
60,25
61,27
62,29
63,33
64,34
65,36
66,37
67,37
68,40
69,45
70,50
71,55
72,60
73,64
74,67
75,72
76,76
77,81
78,84
79,86
80,101
81,111
82,122
83,128
84,134
85,149
86,157
87,170
88,177
89,185
90,192
91,198
92,208
93,213
94,229
95,251
96,263
97,311
98,432
99,476
100,543
101,570
102,584
103,596
104,620
105,662
106,697
107,721
108,733
109,782
110,859
111,949
112,984
113,999
114,1014
115,1034
116,1091
117,1237
118,1298
119,1337
120,1352
121,1415
122,1500
123,1576
124,1597
125,1643
126,1658
127,1670
128,1688
129,1798
130,1865
131,1907
132,1920
133,2003
134,2184
135,2270
136,2367
137,2418
138,2426
139,2466
140,2531
141,2630
142,2694
143,2742
144,2751
145,2926
146,3094
147,3179
148,3200
149,3238
150,3250
151,3279
152,3316
153,3436
154,3486
155,3513
156,3527
157,3677
158,3871
159,3954
160,3992
161,4031
162,4046
163,4074
164,4116
165,4268
166,4339
167,4393
168,4406
169,4593
170,4727
171,4807
172,4854
173,4876
174,4882
175,4913
176,4965
177,5086
178,5147
179,5203
180,5262
181,5378
182,5472
183,5595
184,5653
185,5680
186,5704
187,5744
188,5805
189,6078
190,6191
191,6248
192,6273
193,6392
194,6569
195,6676
196,6724
197,6755
198,6768
199,6833
200,6956
201,7239
202,7347
203,7436
204,7462
205,7612
206,7819
207,7990
208,8068
209,8136
210,8161
211,8216
212,8372
213,8626
214,8748
215,8835
216,8864
217,8972
218,9088
219,9186
220,9294
221,9340
222,9364
223,9597
224,9797
225,9955
226,10312
227,10432
228,10458
229,10586
230,10704
231,10833
232,10966
233,11020
234,11044
235,11093
236,11267
237,11494
238,11641
239,11714
240,11745
241,11928
242,12099
243,12254
244,12399
245,12470
246,12504
247,12543
248,12766
249,12949
250,13181
251,13351
252,13416
253,13606
254,13857
255,14029
256,14164
257,14296
258,14321
259,14407
260,14622
261,14893
262,15098
263,15250
264,15298
265,15298
266,15298
267,15298
268,15298
269,15298
270,15298
271,15298
272,15298
273,15298
274,15298
275,15298
