user,class_id,parti_rate
alex97w97,0,1.0
daniilanikanov21,0,0.5
pmorozova41,0,1.0
ibelikov980q,0,1.0
makthaverskan,0,1.0
ukolov.dmitriy2804,0,1.0
michaelcapo,1,1.0
daniele.goldoni,1,1.0
mato96,1,1.0
pyro,1,1.0
corradini_allison,1,1.0
albertomalferrari,1,1.0
alby94,1,1.0
fesel_elias,1,1.0
allematt96,1,1.0
yash16729,2,0.3076923076923077
dineshgunji154,2,0.11538461538461539
vaishnavisaravanan,2,0.2692307692307692
swethahs123,2,0.34615384615384615
nanoele123,2,0.19230769230769232
harshithroyal,2,0.11538461538461539
vvasu8818,2,0.038461538461538464
giftymiraclene,2,0.15384615384615385
divakardivakar741,2,0.11538461538461539
shaikabbas290,2,0.038461538461538464
manojkumar3156,2,0.2692307692307692
saisudha1514,2,0.5
prudhviniswi143,2,0.038461538461538464
viswasree,2,0.23076923076923078
ponnasasikumar379,2,0.038461538461538464
varshini,2,0.3076923076923077
pall03,2,0.038461538461538464
ahamedmansoor169,2,0.4230769230769231
povi,2,0.34615384615384615
varshitharamu118,2,0.19230769230769232
chanduchowdary1433,2,0.038461538461538464
gautamnaidu713,2,0.19230769230769232
ganeshpanati345,2,0.038461538461538464
saradha,2,0.4230769230769231
chowdaryteja620,2,0.19230769230769232
hasifhasif151,2,0.2692307692307692
vamsicheruvupalli143,2,0.07692307692307693
keerthanagprasad123,2,0.34615384615384615
thesharieffx,2,0.15384615384615385
koppalagopal67,2,0.5
chiranjeeviyagamurthy,2,0.3076923076923077
yadalasrivishnu4,2,0.19230769230769232
rohithreddy65492,2,0.23076923076923078
alurupraveen6,2,0.038461538461538464
niranjanachari48,2,0.11538461538461539
lakshminarasimha72692,2,0.038461538461538464
narendrareddy,2,0.3076923076923077
vshivakumarreddy1999,2,0.11538461538461539
shameer2835,2,0.11538461538461539
vb9237865,2,0.2692307692307692
tanujakota,2,0.23076923076923078
sudheerr1999,2,0.6923076923076923
lingalaabhi34,2,0.038461538461538464
jyothikiranmai97,2,0.15384615384615385
seenirohithkumar,2,0.23076923076923078
likhithalikkishetty,2,0.15384615384615385
kotsmaddhur,2,0.34615384615384615
dills,2,0.5769230769230769
ravierajn,2,0.07692307692307693
sathvika,2,0.15384615384615385
bhavishyapelluru19,2,0.2692307692307692
sindhuja.t,2,0.07692307692307693
suhailahamed418,2,0.5
aslamkhanpatan786,2,0.11538461538461539
mohanchowdary,2,0.7307692307692307
varshicookie,2,0.11538461538461539
soharikareddysura2000,2,0.2692307692307692
chandug2310,2,0.07692307692307693
rajk3742223,2,0.038461538461538464
svignesh9587,2,0.19230769230769232
smartmani,2,0.23076923076923078
vinaychowdary970,2,0.19230769230769232
naveenkumarv3212,2,0.11538461538461539
yaswanthreddy711,2,0.038461538461538464
reddylokesh656,2,0.07692307692307693
gowthaminaravula21,2,0.23076923076923078
anilkotakonda024,2,0.07692307692307693
poornachandra,2,0.23076923076923078
alurupraveen123,2,0.038461538461538464
najmaaarohi123,2,0.19230769230769232
nooruddinbashashaik123,2,0.5384615384615384
sanjaymsdhoni2,2,0.3076923076923077
jhansichowdaryrallapalli,2,0.11538461538461539
jahnavi703,2,0.15384615384615385
chinnig367,2,0.07692307692307693
gopislogvsrao7,2,0.038461538461538464
rithika,2,0.5
bushulu23,2,0.15384615384615385
gopitonyjaa1998,2,0.15384615384615385
ss1030,2,0.038461538461538464
mounika4202,2,0.6538461538461539
nr8939,2,0.038461538461538464
murali135a,2,0.15384615384615385
medhoorumouni123,2,0.6538461538461539
sanjamalagiri786,2,0.11538461538461539
soniyazephrine,2,0.4230769230769231
povi,3,0.16666666666666666
sanjaymsdhoni2,3,0.5
shameer2835,3,0.16666666666666666
vb9237865,3,0.16666666666666666
gopislogvsrao7,3,0.16666666666666666
tanujakota,3,1.0
chowdaryteja620,3,0.16666666666666666
hasifhasif151,3,0.5
sudheerr1999,3,0.6666666666666666
swethahs123,3,1.0
seenirohithkumar,3,0.16666666666666666
ravierajn,3,0.3333333333333333
keerthanagprasad123,3,0.16666666666666666
aslamkhanpatan786,3,0.8333333333333334
rajk3742223,3,0.5
varshicookie,3,0.6666666666666666
soharikareddysura2000,3,0.6666666666666666
mohanchowdary,3,0.16666666666666666
bushulu23,3,0.3333333333333333
padianilanil143,3,0.3333333333333333
koppalagopal67,3,0.3333333333333333
svignesh9587,3,0.16666666666666666
viswasree,3,0.16666666666666666
ponnasasikumar379,3,0.16666666666666666
nr8939,3,0.5
varshini,3,0.16666666666666666
gowthaminaravula21,3,0.16666666666666666
anilkotakonda024,3,0.16666666666666666
nr4477116,3,0.16666666666666666
poornachandra,3,0.16666666666666666
posakrishnavamsikrish,3,0.16666666666666666
najmaaarohi123,3,0.6666666666666666
pall03,3,0.16666666666666666
ahamedmansoor169,3,0.16666666666666666
kristiancaracciolo,4,1.0
jeremyreeve1,4,1.0
tajdaniel,4,1.0
minantawadros,4,1.0
m2bose,4,1.0
aseelbakro,4,1.0
crla.1933,5,0.25
tamararoman98,5,0.25
elena.enamorado.diaz,5,0.625
elenasilva35,5,0.75
claudia.hym,5,0.5
angelaatf7,5,0.375
angelaatf,5,0.125
nacholito98,5,0.625
hggall1,5,0.375
padblanclaura,5,0.5
pedrolealdelojorossello,5,0.75
mgrmanu10,5,0.625
carlostoronu1,5,0.5
giulianomirabella,5,0.625
jaimesanchezfirth,5,0.375
blavelagu,5,0.5
lucicb,5,0.375
anpau53,5,0.375
juliangarciajuanino,5,0.875
alchapar13,5,0.5
nataliamornar,5,0.625
oscarguerravinuesa,5,0.375
aliciasero,5,0.75
beajica,5,0.25
migbarcar,5,0.375
bartolome98,5,0.25
pilarmima9723,5,0.125
miguelreyes1405,5,0.5
mvictoriacerez,5,0.5
rausanara,5,0.5
hibaagii1994,6,0.16666666666666666
onoroo.bayrbat,6,0.16666666666666666
tergel1999,6,0.16666666666666666
tsendee,6,0.3333333333333333
gbatzorig268,6,0.8333333333333334
munkhbileg247,6,0.16666666666666666
bat.munkherdene22,6,0.6666666666666666
bayanjargal123456789,6,0.3333333333333333
delegbayanmunkh9,6,0.5
mdalantai95,6,0.3333333333333333
watashi.legion,6,1.0
dulguun_021,6,0.16666666666666666
ssvldbayr0423,6,0.16666666666666666
bayanjargal.sub,6,0.3333333333333333
enkhamgalanbaatar,6,0.5
ganaaa12a,6,0.3333333333333333
dulguun.davaadorj.dd,6,0.5
bymbaa6789,6,0.16666666666666666
bulganb28,6,0.3333333333333333
boogii,6,0.3333333333333333
bathuygbattsetseg3,6,0.16666666666666666
slize9995,6,0.3333333333333333
