user,class_id,parti_rate
samar.abdelazez.37,7,1.0
esrraahamdy,7,1.0
dgellabi,8,1.0
2.nysc.2,8,1.0
mpjcavero,8,1.0
adrigomez,8,1.0
alberto.castro.barrigon,8,1.0
ambelaza,8,1.0
skmahoss,9,0.5
ameya,9,0.5
feelthefurey,9,0.5
jonathon,9,0.5
veeraghanta.siddharth,9,1.0
woshisita,9,0.5
kul.abhishake,9,1.0
ipnm70,9,0.5
rogerindy,9,0.5
gmbankar37,9,0.5
john.flowers.5,9,0.5
sivasumanth,9,0.5
ongki,9,0.5
haybaum07,9,0.5
edamian57,9,1.0
patrick.obrien.9210,9,0.5
sudhirshrestha,9,1.0
ashitamohile,9,1.0
bmagnett,9,0.5
rocky.hossain1990,9,0.5
gaurav.bunny,9,0.5
sanaghaus4,10,1.0
roha.ansari,10,1.0
syedusamaafzal,10,1.0
haleema.parvaiz,10,1.0
qasimkhalidsandhu,10,1.0
abdulhannan.sohail,10,1.0
muaaz1,10,1.0
muhammadirfanali,11,1.0
sanaghaus4,11,1.0
syedusamaafzal,11,1.0
roha.ansari,11,1.0
arslan.sarwar98,11,1.0
qasimkhalidsandhu,11,1.0
haleema.parvaiz,11,1.0
muaaz1,11,1.0
ayiesha.murtaza.malik,11,1.0
aliharis9293,11,1.0
muhammadirfanali,12,1.0
ibrahimfaquirmuhammad,12,1.0
sanaghaus4,12,1.0
roha.ansari,12,1.0
syedusamaafzal,12,1.0
basim.raza.3,12,1.0
arslan.sarwar98,12,1.0
fzfz712,12,1.0
dragzta,12,1.0
waleed.farrukh,12,1.0
qasimkhalidsandhu,12,1.0
muaaz1,12,1.0
haleema.parvaiz,12,1.0
arsham.khawaja12,12,1.0
mahammasood,12,1.0
aliharis9293,12,1.0
trushnapatel,13,0.8
sarmila_pandiyan,13,0.6
chaitanya.alladi,13,0.6
dhavalsule,13,0.2
turkishdlite,13,0.2
harpreeitsaini,13,0.8
jim94,13,0.4
kanish_sultana20000,13,0.2
diazdave25,13,0.8
varunloya123,13,0.4
henrytai,13,0.8
harishdasariraju,13,0.6
bhavik.ec24,13,0.4
kusumar,13,1.0
harpreeit.saini,13,0.2
nirmaladasamoni,13,0.8
ivan92,13,0.4
martinrodrz,13,0.4
sindhureddy25,13,0.6
studdmuffin9140,13,0.4
arundasari,13,0.6
deepikangala,13,0.8
kiranrajgeorge,13,0.2
usergim,13,0.4
acastillo,13,0.6
sindhu13,13,0.4
tp1805,13,0.4
krystlei,13,0.4
lalithasirigiri,13,0.8
huangcw2,13,1.0
cherishmavadlamudi,13,0.4
shah.manish1,13,0.2
armersuender,13,0.2
harshpathak,13,0.6
ahdel,13,0.6
jcabrera010,13,0.4
obardb,13,0.4
respiritu1,13,0.4
jae7woo,14,0.8333333333333334
leem4230,14,1.0
njsdhd,14,0.16666666666666666
elvlf1611,14,1.0
guma2020,14,0.8333333333333334
hihibyebye,14,0.8333333333333334
jjh1115kr,14,1.0
yabc912,14,0.8333333333333334
zenorc,14,0.3333333333333333
jyarika,14,0.8333333333333334
iiijjj222,14,0.8333333333333334
choeun.park.71,14,0.6666666666666666
fasterthan88,14,0.8333333333333334
youngin90,14,0.8333333333333334
poby,14,0.3333333333333333
kyungrock.son.75,14,0.8333333333333334
yohany,14,1.0
leess1206,14,0.6666666666666666
supreme892,14,0.8333333333333334
jeffin.antony.35,15,1.0
vabdulkareemv,15,1.0
abdul.hakeem.9469545,15,1.0
cecsplab,15,1.0
aswathyss,15,1.0
teakhan,15,1.0
jyothishb07,15,1.0
deepaabraham,15,1.0
shennes.mathew,15,1.0
daughty2390,15,1.0
george.karamel,15,1.0
unni.praveencs,15,1.0
jaison.jacob3,15,1.0
ajithvvariar1992,15,1.0
pawan12,16,0.3333333333333333
nithya0038,16,0.2222222222222222
becky0070,16,0.3333333333333333
saiekhnath,16,0.1111111111111111
visheshmk,16,0.2222222222222222
swapnildabade70,16,0.2222222222222222
karthick30,16,0.3333333333333333
riyadavis,16,0.1111111111111111
vasi2013nano,16,0.1111111111111111
esathiyacnr,16,0.6666666666666666
rafikul,16,0.2222222222222222
suresh047,16,0.3333333333333333
durgesh123,16,0.3333333333333333
kommanaveen51,16,0.2222222222222222
vishnusasi,16,0.2222222222222222
avvaruvenkat225,16,0.5555555555555556
ram14mnt007,16,0.4444444444444444
narayanamh123,16,0.2222222222222222
ayushikamalkar,16,0.2222222222222222
balacool,16,0.3333333333333333
revathyd14mnt0018,16,0.2222222222222222
jyothichandran111,16,0.3333333333333333
dayakar3,16,0.3333333333333333
shivangi30,16,0.2222222222222222
atulverma1992,16,0.3333333333333333
nehavr25,16,0.2222222222222222
apurva3007,16,0.3333333333333333
bishakha1606,16,0.2222222222222222
giriedusport,16,0.2222222222222222
s.divyalakshmi,16,0.5555555555555556
shyampadhi2,16,0.2222222222222222
jeethu123,16,0.3333333333333333
ajitaneogi,16,0.2222222222222222
bishuishwari,16,0.4444444444444444
astjraj,16,0.3333333333333333
kartik1,16,0.2222222222222222
prathyush14mnt0020,16,0.2222222222222222
joseph207,16,0.2222222222222222
eswar369,16,0.3333333333333333
bharathithasan111,16,0.1111111111111111
mytheeswaran001,16,0.3333333333333333
ank,16,0.2222222222222222
hasanraza,16,0.2222222222222222
swathimnt0049,16,0.2222222222222222
sabby1611,16,0.2222222222222222
garimadang,16,0.3333333333333333
saurabhjoshi,16,0.3333333333333333
athirasudarsananv,16,0.1111111111111111
debika26,16,0.3333333333333333
bharathi19,16,0.2222222222222222
durga0045,16,0.2222222222222222
rhera312,16,0.2222222222222222
gandhamsatish1107,16,0.2222222222222222
rbishakha,16,0.1111111111111111
taraprasanna,16,0.2222222222222222
syamsai,16,0.1111111111111111
pradeep1450,16,0.2222222222222222
abipriyan3,16,0.1111111111111111
sunny.patel361,16,0.2222222222222222
swethasmenon,16,0.3333333333333333
shruthivs,16,0.4444444444444444
ravitejasolleti,16,0.2222222222222222
rmusalay,17,0.3333333333333333
rpraneeth06,17,0.3333333333333333
sapman,17,1.0
balabanmb,17,0.3333333333333333
ththomp2,17,0.3333333333333333
pkoswatt,17,1.0
ramnraop,17,0.6666666666666666
sbatchu1,17,0.3333333333333333
gerhard.tulzer,17,0.3333333333333333
nvulic2,17,0.3333333333333333
akdeshpa,17,0.3333333333333333
catterrell,17,0.3333333333333333
monicareynoso,17,0.3333333333333333
hsurdi,17,0.3333333333333333
jianyi.gao.1,17,0.6666666666666666
baoxun1,17,0.3333333333333333
doublefan,17,0.3333333333333333
hongya,17,0.3333333333333333
treblitz,17,1.0
pfirth,17,1.0
salman.manzoor,17,0.3333333333333333
maitreyadutta,17,1.0
mpreynos,17,0.3333333333333333
surisuraj,17,0.6666666666666666
harshadsurdi,17,0.3333333333333333
akkisubhu061,17,0.3333333333333333
shizhisha,17,0.3333333333333333
mpreynos1,17,0.3333333333333333
alansam,17,0.3333333333333333
jaspreety86,17,0.6666666666666666
adar1312,17,0.6666666666666666
benthezhu,18,0.7
david.boucard,18,0.1
wuyi0623,18,0.6
antonio_soild_state,18,0.2
dps2144,18,0.6
jjw2170,18,0.8
aji2112,18,0.4
caleb.fujimori,18,0.5
frostgyt,18,0.5
ab3914,18,0.1
jessicazhao,18,0.6
neilorzechowski,18,0.7
zhenghao,18,0.4
gmackcrane,18,0.5
serena.shahsimpson,18,0.2
jy2537,18,0.4
nikoala3,18,0.7
saleil.bhat,18,0.8
dmarsed18,18,0.7
hekle,18,0.7
cedricmayer,18,0.6
gayathriraj,18,0.2
af2791,18,0.5
csyolen,18,0.3
nilespaulthethird,18,0.4
shenyz,18,0.1
dms2264,18,0.5
tonid,18,1.0
de2313,18,0.7
sv2340,18,0.1
gkewley87,18,0.8
nazlituncer94,18,0.7
chf2117,18,0.1
steev16,18,0.8
jeffrey11366,18,0.4
jmd2251,18,1.0
lfv2108,18,1.0
rsv2111,18,0.8
johnkym,18,0.2
houseoflastwords,18,0.7
ndg2119,18,0.6
harrisonliew,18,0.7
ka2531,18,0.7
