,track
0,0
1,0
2,3
3,3
4,3
5,3
6,5
7,5
8,5
9,5
10,5
11,5
12,6
13,8
14,9
15,9
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,11
25,12
26,12
27,12
28,12
29,15
30,15
31,16
32,16
33,17
34,19
35,19
36,19
37,19
38,19
39,19
40,20
41,20
42,20
43,20
44,20
45,20
46,20
47,21
48,21
49,21
50,21
51,21
52,21
53,21
54,21
55,21
56,22
57,24
58,25
59,26
60,27
61,32
62,34
63,34
64,35
65,35
66,37
67,38
68,44
69,48
70,50
71,55
72,59
73,62
74,69
75,73
76,81
77,87
78,90
79,94
80,101
81,108
82,117
83,125
84,136
85,145
86,160
87,174
88,183
89,191
90,202
91,210
92,214
93,220
94,238
95,257
96,271
97,316
98,369
99,400
100,443
101,468
102,493
103,534
104,544
105,571
106,610
107,656
108,698
109,728
110,765
111,796
112,844
113,873
114,888
115,904
116,919
117,952
118,995
119,1038
120,1087
121,1125
122,1206
123,1268
124,1335
125,1393
126,1435
127,1479
128,1512
129,1585
130,1660
131,1790
132,1845
133,1921
134,1991
135,2067
136,2150
137,2201
138,2273
139,2301
140,2324
141,2390
142,2488
143,2600
