semester,number of clusters,cluster id,users in each cluster,unique institutions,institution list
,,20,14,5,"['university of central florida', 'politecnico di torino', 'forschungszentrum jÃ¼lich', 'epfl (Ã©cole polytechnique fÃ©dÃ©rale de lausanne)', 'massachusetts institute of technology (mit)']"
,,21,13,2,"['southern illinois university', 'Chicago State University']"
,,22,12,2,"['university of texas at dallas', 'southern illinois university']"
,,23,12,5,"['university of illinois at urbana-champaign', 'university of warwick', 'university of houston', 'san jose state university', 'eastern michigan university']"
,,24,12,4,"['university of massachusetts lowell', 'southern illinois university', 'rice university', 'university of southern california']"
,,25,11,1,['University of Washington Seattle Campus']
,,26,11,1,['ieee']
,,27,10,0,[]
,,28,10,2,"['university of bologna', 'sensor electronic technology, inc']"
,,29,9,1,['purdue university']
,,30,9,1,['university of utah']
,,31,9,1,"['university of california, riverside']"
,,32,9,1,['purdue university']
,,33,9,4,"['university of illinois at urbana-champaign', 'stanford university', 'arizona state university', 'university of florida']"
,,34,8,2,"['purdue university', 'ucla']"
,,35,8,1,['portland state university']
,,36,8,3,"['university of michigan', 'texas a&m university', 'cornell university']"
,,37,7,0,[]
,,38,7,1,['northwestern university']
,,39,7,1,['ieee']
,,40,7,3,"['university of florida', 'purdue university', 'amo gmbh']"
,,41,7,1,['purdue university']
,,42,7,1,['purdue university']
,,43,7,2,"['florida international university', 'northwestern university']"
,,44,6,1,['purdue university']
,,45,6,2,"['florida international university', 'university of delaware']"
,,46,6,2,"['university of arkansas', 'national university of singapore']"
,,47,6,1,['arizona state university']
,,48,6,3,"['unsw', 'indian institute of technology, bombay', 'purdue university']"
,,49,6,0,[]
,,50,6,3,"['purdue university', 'university of michigan', 'indian institute of technology, madras']"
,,51,6,2,"['university of illinois at urbana-champaign', 'University of Washington Seattle Campus']"
,,52,6,2,"['michigan technological university', 'stanford university']"
,,53,6,2,"['missouri state university', 'university of louisville']"
,,54,6,1,['purdue university']
,,55,5,1,"['university of california, riverside']"
,,56,5,1,['University of Washington Seattle Campus']
,,57,5,1,['University of Washington Seattle Campus']
,,58,5,2,"['ieee', 'cornell university']"
,,59,5,1,['University of Washington Seattle Campus']
,,60,5,1,['northwestern university']
,,61,5,2,"['university of udine', 'purdue university']"
,,62,5,3,"['arizona state university', 'University of Puerto Rico Mayaguez', ""cea - commissariat Ã\xa0 l'Ã©nergie atomique et aux Ã©nergies alternatives""]"
,,63,5,3,"['globalfoundries', 'carnegie mellon university', 'universidade estadual de campinas']"
,,64,5,1,['university of notre dame']
