toolname,class_id
0,0
1,1
2,2
3,3
4,4
0,5
1,5
2,5
3,5
5,5
8,5
10,6
6,6
7,7
9,8
11,9
15,9
12,10
13,11
5,12
14,12
16,13
8,13
6,13
17,14
6,14
7,14
0,15
1,15
3,15
15,15
16,15
19,15
2,16
0,17
1,17
2,17
0,18
1,18
2,18
3,19
0,20
1,21
2,22
4,22
5,22
7,22
3,23
6,23
4,24
5,25
0,26
8,26
4,26
7,26
1,27
2,28
0,29
2,29
0,30
1,30
2,31
0,32
1,32
32,32
3,32
2,32
5,32
6,32
7,32
8,32
26,32
31,32
0,33
1,34
2,34
4,34
5,34
0,35
2,35
1,36
3,36
0,37
1,37
2,37
6,37
1,38
3,38
4,39
7,40
8,41
0,41
1,41
9,42
8,43
1,43
10,43
2,44
11,44
12,45
0,46
1,46
2,46
0,47
5,47
0,48
1,48
1,49
2,50
7,50
3,51
4,52
12,52
5,53
8,54
6,54
9,55
10,56
11,57
13,58
14,59
16,60
0,61
1,62
2,62
3,63
0,64
0,65
1,65
2,65
3,65
13,65
1,66
4,66
0,67
1,68
1,69
2,69
0,70
6,70
7,70
8,70
11,70
15,70
1,71
3,72
4,73
5,74
8,75
6,75
9,76
11,76
3,77
10,77
2,77
13,77
12,78
14,79
8,80
1,80
11,80
0,81
1,81
0,82
2,82
3,82
1,83
2,84
3,85
4,86
5,87
0,88
0,89
1,89
0,90
1,90
0,91
1,91
2,91
0,92
0,93
1,93
2,94
3,95
0,96
2,96
3,96
4,96
6,96
5,97
1,98
0,99
1,99
0,100
4,100
5,100
1,101
2,101
0,102
0,103
0,104
5,104
1,105
0,106
1,107
2,107
2,108
4,108
14,108
4,109
3,110
12,110
5,110
0,111
1,112
0,113
1,113
2,114
1,115
3,115
4,116
7,117
9,118
0,119
10,119
0,120
1,120
2,121
0,122
1,123
2,124
0,125
1,125
2,125
3,125
0,126
2,127
4,128
0,129
0,130
3,130
0,131
0,132
2,133
0,134
1,135
4,135
2,136
0,137
0,138
0,139
1,140
13,140
2,141
3,142
24,143
4,143
4,144
5,145
6,145
9,146
10,147
15,148
16,149
17,150
18,151
19,152
20,153
21,154
22,155
23,156
25,157
27,158
28,159
29,160
30,161
0,162
0,163
1,164
2,164
3,164
4,164
6,165
5,166
6,167
1,168
5,169
1,170
0,171
1,172
3,173
5,173
4,174
6,174
7,175
1,176
0,177
0,178
0,179
1,180
2,180
3,181
1,182
0,183
1,184
18,184
2,185
3,186
9,187
10,187
12,187
14,187
17,187
20,187
0,188
0,189
1,189
2,189
0,190
1,190
0,191
