,track
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,2
9,2
10,2
11,2
12,2
13,3
14,3
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,6
37,6
38,7
39,8
40,10
41,11
42,11
43,11
44,12
45,12
46,12
47,12
48,12
49,12
50,14
51,15
52,16
53,16
54,16
55,17
56,21
57,23
58,24
59,24
60,25
61,27
62,29
63,33
64,34
65,36
66,37
67,37
68,40
69,45
70,50
71,55
72,60
73,64
74,67
75,72
76,76
77,81
78,84
79,86
80,101
81,111
82,122
83,128
84,134
85,149
86,157
87,170
88,177
89,185
90,192
91,198
92,208
93,213
94,229
95,251
96,263
97,311
98,432
99,476
100,543
101,570
102,584
103,596
104,620
105,662
106,697
107,721
108,733
109,782
110,859
111,949
112,984
113,999
114,1014
115,1034
116,1091
117,1237
118,1298
119,1337
120,1352
121,1415
122,1500
123,1576
124,1597
125,1643
126,1658
127,1670
128,1688
129,1798
130,1865
131,1907
132,1920
133,2003
134,2184
135,2270
136,2367
137,2418
138,2426
139,2466
140,2531
141,2630
142,2694
143,2742
