,track
0,0
1,0
2,8
3,11
4,13
5,14
6,15
7,17
8,21
9,24
10,24
11,25
12,27
13,33
14,35
15,36
16,40
17,40
18,40
19,40
20,45
21,45
22,47
23,50
24,51
25,51
26,51
27,51
28,52
29,61
30,62
31,63
32,65
33,69
34,74
35,76
36,77
37,80
38,84
39,85
40,88
41,91
42,92
43,93
44,95
45,97
46,98
47,101
48,101
49,104
50,106
51,108
52,109
53,112
54,117
55,118
56,120
57,123
58,131
59,131
60,136
61,148
62,151
63,156
64,161
65,164
66,171
67,179
68,188
69,195
70,204
71,216
72,234
73,246
74,255
75,266
76,284
77,305
78,321
79,331
80,345
81,365
82,385
83,405
