user,class_id,parti_rate
ranya_samy,0,0.5
kariembudran,0,0.5
khallidkhallaf,0,0.5
mhmd1984,0,1.0
mkamel,0,0.5
mohannadyomn,0,0.5
khashaba154,0,1.0
tarek1984,0,0.5
nasrantar,0,0.5
bassel_ahmed,0,0.5
hooshyforchy,1,1.0
bisrattaff,1,0.5
leteruel,1,1.0
nanoguyunlv,1,0.5
nzb109,1,0.5
sweetsal,1,1.0
pranjali26,1,0.5
wplin,1,1.0
wenshen,1,1.0
guttikon,1,1.0
Mimi,2,1.0
heba_draz,2,1.0
shn,2,1.0
mfarag,2,1.0
mhmd1984,2,1.0
ek4m2005,2,1.0
ahmedneamatallah,2,1.0
ranya_samy,2,1.0
abd_allah,2,1.0
maged_1,2,1.0
abdelwahab202,2,1.0
amsami,2,1.0
MA,2,1.0
mohannadyomn,2,1.0
ashraf2008,2,1.0
mnnxp_XP,2,1.0
abker,2,1.0
ahmed_3anter,2,1.0
kariembudran,2,1.0
eng_ahmedhamed,2,1.0
khallidkhallaf,2,1.0
sh,2,1.0
ahmed20,2,1.0
ghost999100,2,1.0
khashaba154,2,1.0
tarek1984,2,1.0
nasrantar,2,1.0
greatsisi,2,1.0
islam,2,1.0
salem_eng1,2,1.0
SH,2,1.0
gomana1976,2,1.0
bigman,2,1.0
AHMED20,2,1.0
hazemafify,2,1.0
yalavarthi,3,0.625
chandrakiran,3,0.875
mallik69sg,3,0.125
praveen56,3,0.375
cuberoot,3,0.125
singam28,3,0.625
satishb,3,0.375
hema19,3,0.75
nikheel_mutha,3,1.0
akmohamm,3,0.125
rakesh1,3,0.125
sandeepk,3,0.5
kalpana,3,0.75
mries,3,0.125
sameer229,3,0.75
kesani,3,0.125
kandala,3,0.125
geminianrahul,3,1.0
kiransunkara,3,0.75
kittu2731,3,0.125
kajal1,3,0.125
kalyanA,3,0.125
henryryu,3,0.625
revanth9,3,0.375
madan226,3,0.125
ravali,3,0.375
vinel86,3,0.125
sahmadmiri,3,0.125
motakpal,3,0.25
deepujoe,3,1.0
pintamesuave,3,0.125
venkyrocks1z,3,1.0
sravankumar,3,0.5
rajani,3,0.875
srilatha,3,0.375
kiransunkara1,3,0.125
balajepalli,3,0.875
Kiransunkara,3,0.125
gypooja,3,0.625
kishorerama,3,0.25
ravindra,3,0.25
malliksiuc,3,0.125
shubhajeet,3,0.375
sravankumarga,3,0.25
rakesh96,3,0.125
rakesh,3,0.5
revanth909,3,0.75
pishvaei,3,0.125
sandeepchetla,3,0.25
Kedar,3,0.5
vineelat,3,0.625
swathi,3,0.25
shinde,3,0.625
vamsi,3,0.875
swaroopnayer,3,0.625
nshah5,3,0.125
dhabersat,3,0.25
obaid,3,1.0
gspkarteek,3,0.125
revanth,3,0.125
JiwonChang,3,0.125
vvijaysaradhi8,3,0.875
vedire,3,0.375
thirumal,3,0.125
dilipchandra,3,0.75
ganeshms,3,0.5
kedar,3,0.375
aruna135,3,1.0
ozair229,3,0.375
krishnakiran19,3,0.75
riteshsiuc,3,0.125
manasa18,3,0.625
motakpal32,3,0.125
mbakbulut,3,0.125
sanjayk,3,0.5
pavan_sail2boats,3,0.625
guttivishu,3,0.125
hari1234,3,0.875
jrollins,3,0.125
haydar,3,0.875
ksharon,3,1.0
ravi1986,3,0.125
dslowin,3,0.125
wowshariff,3,0.25
phani,3,0.5
yphani,3,0.125
VAMSI,3,0.125
hvr1,3,0.5
chaparalaravi,3,0.375
paradox,3,0.125
arun,3,0.5
mshareef,3,0.25
sravankumarg,3,0.25
varun4varun,3,0.875
teegalapalli,3,0.25
yalavarthi,4,0.875
chandrakiran,4,0.5
sravankumargang,4,0.125
praveen56,4,0.375
singam28,4,0.125
srikanth021985,4,0.125
satishb,4,0.125
hema19,4,0.75
tfleur,4,0.625
sravankumarganga,4,0.375
nikheel_mutha,4,0.625
kalpana,4,0.625
sameer229,4,0.75
kesani,4,0.125
geminianrahul,4,0.375
motakpal3b2,4,0.125
kiransunkara,4,0.25
kittu2731,4,0.625
chrmjenkins,4,0.25
msahish,4,0.625
kalyanA,4,0.125
henryryu,4,0.625
sravankumargan,4,0.125
madan226,4,0.625
ravali,4,1.0
dindi,4,0.125
ssahmed,4,0.5
motakpal,4,0.25
deepujoe,4,0.375
venkyrocks1z,4,0.375
sravankumar,4,0.5
vineel86,4,0.125
rajani,4,0.375
srilatha,4,1.0
balajepalli,4,0.625
