,track
0,0
1,0
2,2
3,2
4,4
5,5
6,5
7,5
8,7
9,9
10,9
11,9
12,10
13,14
14,14
15,15
16,15
17,14
18,13
19,13
20,13
21,13
22,13
23,13
24,14
25,14
26,13
27,13
28,12
29,16
30,16
31,17
32,18
33,19
34,22
35,21
36,20
37,21
38,26
39,27
40,30
41,28
42,28
43,26
44,27
45,27
46,28
47,28
48,28
49,28
50,31
51,31
52,30
53,30
54,31
55,31
56,36
57,39
58,43
59,42
60,46
61,57
62,62
63,65
64,65
65,66
66,70
67,72
68,84
69,92
70,102
71,114
72,123
73,134
74,146
75,154
76,167
77,183
78,194
79,204
80,235
81,255
82,282
83,309
84,326
85,370
86,392
87,424
88,436
89,454
90,474
91,485
92,493
93,510
94,534
95,550
96,565
97,604
98,661
99,678
100,714
101,745
102,764
103,781
104,802
105,866
106,897
107,931
108,967
109,1018
110,1038
111,1042
112,1031
113,1039
114,1042
115,1042
116,1084
117,1178
118,1187
119,1207
120,1238
121,1274
122,1326
123,1349
124,1376
125,1401
126,1417
127,1433
128,1469
129,1553
130,1585
131,1622
132,1598
133,1654
134,1701
135,1696
136,1714
137,1700
138,1709
139,1718
140,1743
141,1806
142,1821
143,1827
144,1795
145,1843
146,1865
147,1877
148,1917
149,1938
150,1970
151,1975
152,1989
153,2067
154,2070
155,2089
156,2036
157,2013
158,2030
159,2060
160,2019
161,2016
162,2017
163,2015
164,2041
165,2109
166,2130
167,2091
168,2057
169,2090
170,2083
171,2050
172,2002
173,1992
174,1973
175,1947
176,1948
177,2044
178,2055
179,2023
180,1999
181,2014
182,2067
183,2085
184,2088
185,2051
186,2075
187,2100
188,2132
189,2185
190,2228
191,2200
192,2176
193,2200
194,2164
195,2139
196,2219
197,2210
198,2185
199,2174
200,2266
201,2326
202,2320
203,2366
204,2328
205,2318
206,2321
207,2366
208,2372
209,2376
210,2374
211,2358
212,2400
213,2440
214,2414
215,2400
216,2333
217,2392
218,2408
219,2389
220,2459
221,2452
222,2444
223,2479
224,2520
225,2516
226,2499
227,2487
