,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,self_study_day_1_users_date_track,self_study_day_2_7_users_date_track,self_study_day_8_30_users_date_track,self_study_day_31_90_users_date_track,self_study_day_91_180_users_date_track,self_study_day_181_365_users_date_track,self_study_years_users_date_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
11,2000-12-01,378,16,6,2,8,0,343,25,8,1,9,5,1,6,24,25,4.166666666666666,0.0,6.510416666666667,89.32291666666666,6.510416666666667
12,2001-01-01,409,17,7,2,8,0,372,27,8,1,9,5,1,6,24,27,4.086538461538462,0.0,6.490384615384616,89.42307692307693,6.490384615384616
13,2001-02-01,616,21,9,3,9,0,571,33,12,3,12,6,4,10,31,33,3.36,0.0,5.28,91.36,5.28
14,2001-03-01,753,20,8,3,9,0,707,35,14,6,13,7,6,11,32,35,2.6246719160104988,0.0,4.593175853018373,92.78215223097112,4.593175853018373
15,2001-04-01,779,21,8,4,9,0,731,36,14,6,12,8,6,11,32,36,2.66497461928934,0.0,4.568527918781726,92.76649746192894,4.568527918781726
16,2001-05-01,804,18,9,4,5,0,756,39,13,5,10,9,7,12,32,39,2.214022140221402,0.0,4.797047970479705,92.98892988929889,4.797047970479705
17,2001-06-01,811,17,9,3,5,0,764,39,13,5,7,9,7,12,34,39,2.073170731707317,0.0,4.7560975609756095,93.17073170731707,4.7560975609756095
18,2001-07-01,817,15,8,3,4,0,774,36,14,5,7,10,7,12,34,36,1.8181818181818181,0.0,4.363636363636364,93.81818181818183,4.363636363636364
19,2001-08-01,806,14,8,3,3,0,765,35,14,5,7,10,7,12,34,35,1.71990171990172,0.0,4.2997542997543,93.98034398034399,4.2997542997543
20,2001-09-01,807,12,7,2,3,0,765,37,15,5,8,11,7,13,36,37,1.4742014742014742,0.0,4.545454545454546,93.98034398034399,4.545454545454546
21,2001-10-01,814,13,7,2,4,0,771,37,18,5,7,18,9,13,37,37,1.5834348355663823,0.0,4.506699147381242,93.90986601705238,4.506699147381242
22,2001-11-01,775,13,7,2,4,0,730,39,22,6,7,19,9,13,40,39,1.6624040920716114,0.0,4.987212276214834,93.35038363171356,4.987212276214834
23,2001-12-01,742,13,7,2,4,0,696,40,22,6,8,20,8,13,40,40,1.7356475300400533,0.0,5.34045393858478,92.92389853137517,5.34045393858478
24,2002-01-01,684,13,7,2,4,0,640,39,21,6,8,21,8,14,40,39,1.8786127167630058,0.0,5.635838150289017,92.48554913294798,5.635838150289017
25,2002-02-01,665,13,7,2,4,0,622,37,26,9,10,24,22,14,41,37,1.9345238095238095,0.0,5.5059523809523805,92.55952380952381,5.5059523809523805
26,2002-03-01,662,12,6,2,4,0,622,35,37,15,12,45,23,16,47,35,1.7937219730941705,0.0,5.23168908819133,92.9745889387145,5.23168908819133
27,2002-04-01,647,12,6,2,4,0,608,34,39,15,14,50,22,18,49,34,1.834862385321101,0.0,5.198776758409786,92.96636085626912,5.198776758409786
28,2002-05-01,394,11,4,2,5,0,359,31,43,16,13,49,20,16,48,31,2.7431421446384037,0.0,7.73067331670823,89.52618453865337,7.73067331670823
29,2002-06-01,388,15,7,3,5,0,347,37,49,15,15,49,20,14,53,37,3.7593984962406015,0.0,9.273182957393484,86.96741854636592,9.273182957393484
