toolname,class_id
0,0
1,1
2,2
3,2
0,3
0,4
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
2,5
5,5
3,6
9,7
0,8
1,8
2,8
0,9
1,9
2,10
3,10
0,11
1,12
2,13
16,14
3,14
7,14
0,15
1,15
2,15
3,15
4,15
7,15
5,16
0,17
1,17
0,18
2,18
0,19
2,19
4,19
1,20
3,20
5,20
2,21
0,22
1,22
2,22
0,23
1,23
0,24
1,25
0,26
1,26
2,26
3,26
1,27
3,27
4,27
5,28
0,29
1,29
3,29
6,29
8,29
4,30
5,31
1,32
2,32
3,33
6,34
0,35
1,35
11,35
7,35
8,36
9,37
10,38
12,39
6,39
14,39
15,39
0,40
1,40
2,40
6,40
8,40
13,40
16,40
18,40
17,41
3,42
9,42
19,42
20,43
10,44
21,44
11,45
22,45
2,46
3,46
0,47
2,47
1,48
4,48
2,49
4,49
5,50
7,51
0,52
1,52
0,53
1,53
2,53
1,54
4,55
0,56
0,57
5,58
7,59
12,60
0,61
3,62
0,63
1,63
0,64
1,65
2,66
2,67
3,67
4,67
0,68
2,68
0,69
1,69
2,69
3,69
4,69
5,69
6,69
0,70
0,71
1,71
3,71
6,71
6,72
7,72
8,72
9,72
18,72
0,73
1,73
0,74
4,74
0,75
1,75
5,75
0,76
0,77
3,78
0,79
2,80
3,81
0,82
0,83
1,84
2,84
3,85
7,85
0,86
2,87
0,88
0,89
4,90
15,90
7,90
1,91
5,91
10,92
14,92
3,93
1,93
11,93
12,94
13,95
17,96
19,97
20,98
2,99
4,100
0,101
1,101
2,102
3,103
4,104
5,105
2,106
0,107
0,108
4,109
0,110
0,111
0,112
3,112
4,113
5,114
0,115
1,116
2,116
3,117
4,117
0,118
1,119
3,119
4,119
5,119
2,120
0,121
2,121
3,121
4,121
5,121
6,121
1,122
