user,class_id,parti_rate
bffg1010,0,1.0
hakseop1,0,1.0
qodudnd121,0,1.0
kolarov0534,0,1.0
shwj0602,0,1.0
limdoyeon130,0,1.0
kiltaehyun366,0,1.0
kskseha2020,0,1.0
zsed126126,0,1.0
dudrb1216,0,1.0
kangmh798,0,1.0
wkdtmddbs2,0,1.0
azi,1,1.0
aude0905,1,1.0
jocker9598,1,1.0
thehhan97,1,1.0
mxol04,1,1.0
wittree35,1,1.0
kimwj1622,1,1.0
shwj0602,1,1.0
caicaizhang,2,1.0
khan190,2,0.5
adonabed,2,1.0
sgardner11,2,1.0
dravinut,2,1.0
ncpr,2,1.0
haskin0,2,0.5
cwhittey,2,1.0
dgazzo,2,1.0
mukher42,2,1.0
jefferycoulter,2,0.5
davis797,2,0.5
mmim,2,1.0
vvelagal,2,1.0
chatte42,2,1.0
french53,2,1.0
larso124,2,1.0
li2212,2,1.0
daniel.rocha,3,1.0
bak.samasa,3,1.0
joanadebowale21,3,1.0
jazzminowens91,3,1.0
liz,3,1.0
prsnnkannan,4,1.0
manvithotamsetty.04,4,1.0
nidhi02,4,0.5
abinayamanikandan48,4,1.0
lasyasannareddy05,4,1.0
dheenads2003,4,1.0
anagoldpez,5,1.0
dshetty27,5,1.0
smural39,5,1.0
aberde,5,1.0
vkandhag,5,1.0
jvemired,5,1.0
asrira14,5,1.0
parivazh,6,0.5
blackwer,6,0.25
jverduzc,6,1.0
hguangshuai,6,0.25
jbarsima,6,0.5
fish15,6,1.0
ahads,6,1.0
sameerkamath,6,0.25
nykiel.4,6,1.0
alafzi,6,0.25
atelahun,7,1.0
seminole291wm,7,1.0
ohech004,7,1.0
mr.godinez7701,7,1.0
jwmsci,7,1.0
io49,7,1.0
mcarames,7,1.0
tayl1153,8,1.0
stblanken234,8,1.0
rapplet,8,0.75
nhallber,8,1.0
kim3731,8,1.0
mishra94,8,0.25
gnishibu,8,0.25
nouraalmutairi,9,1.0
al7ramy99,9,1.0
mouod91,9,1.0
alkharraz7755,9,1.0
bilaljaba,9,1.0
wadhha,9,1.0
arejf1999,9,1.0
kmq8i,9,1.0
aseelalabdulhadi,9,1.0
sayedmy88,9,1.0
hanan_hamad,9,1.0
hm46,9,1.0
ali977,9,1.0
dalf3009,9,1.0
zahraaali,9,1.0
husainmb,9,1.0
dmarcini88,10,0.5
vividaboin,10,1.0
erikamehring,10,1.0
santiagoar,10,0.5
sol.3.92,10,1.0
jmchierici24,10,0.5
myriamtorres,10,0.5
fabripusiol1833,10,0.5
solange.munoz,10,1.0
jchierici,10,1.0
smselzer,11,1.0
broensmartin,11,1.0
vividaboin,11,1.0
martin.ignacio.broens,11,1.0
jmchierici24,11,1.0
myriamtorres,11,1.0
fpantano73,11,1.0
jchierici,11,1.0
shaquille.nicolas,12,1.0
cmbkennesaw,12,1.0
joshcarter216,12,1.0
thaibui3,12,1.0
nonauthorize,12,1.0
