tool,start,end,mean_lon,mean_lat,user_set,ip_set
0,2018-03-13,2018-03-23,-86.79273716779959,36.15014782659397,"{'coopea3', 'bremnej', 'sherkst', 'crawforc', 'smita22', 'edwarddb', 'roslin', 'jon_mcgahee', 'tarij', 'millep2', 'gustaver', 'pinneya', 'apreston1', 'stsai19', 'scherpkl', 'sentilmj', 'corners1', 'aliyazdani1997', 'oseibw', 'brianrider156', 'mohdfan', 'johnsmc2', 'rushaimb', 'romanc1', 'chasonar', 'harrisonyct', 'crispeds', 'linng1', 'gw014425', 'majumdkr', 'ryan.c.holman', 'robert.t.mastey', 'stilsota', 'samdrn45', 'brownmg2', 'coirodl', 'liucl', 'leeea2', 'yostjg', 'valentjg', 'alexroed', 'silverlr'}","{'129.59.122.16', '136.58.50.213', '129.59.122.15', '129.59.122.25', '129.59.122.20', '129.59.122.17', '129.59.122.65', '129.59.122.11', '129.59.122.22', '129.59.122.24', '129.59.122.23', '129.59.122.19', '129.59.122.51', '129.59.122.21', '129.59.79.29', '129.59.122.10', '129.59.122.14', '129.59.122.12', '129.59.122.18', '129.59.122.13', '108.87.158.47'}"
0,2018-01-19,2018-01-27,-122.13913859284722,37.46731186183994,"{'savs413', 'dm628', 'xiushan', 'zzh', 'fangguanhua2013', 'aditidatta', 'cccharleschan', 'galexop', 'yangjennie', 'cdflem94', 'zhouz4', 'qfhuang', 'avan994', 'liluoqi07', 'rthowe', 'hgao3'}","{'68.65.174.224', '128.12.245.10', '128.12.253.5', '108.244.96.122', '171.66.12.218', '128.12.244.5', '68.65.174.192', '171.66.208.134', '73.93.135.150', '73.93.172.252', '171.66.208.145', '73.93.155.39', '208.54.5.152', '98.207.106.162'}"
1,2018-02-03,2018-02-09,-122.12227890293367,37.41336323272783,"{'ehernndz', 'savs413', 'dm628', 'zzh', 'galexop', 'yangjennie', 'zhouz4', 'liluoqi07', 'avan994', 'ozhao2012', 'chrisrocks40'}","{'128.12.252.4', '68.65.174.224', '171.66.208.134', '128.12.254.132', '73.93.172.252', '128.12.253.5', '108.244.96.122', '171.66.208.145', '171.66.210.7'}"
2,2018-02-04,2018-02-07,106.9177017211914,47.917301177978516,"{'x.ganerdene123', 'tornado_u', 'davaab.num', 'b.buynaa01', 'n.batkaa'}","{'122.201.21.57', '202.21.127.130'}"
3,2018-02-18,2018-02-22,105.0,46.0,"{'x.ganerdene123', 'bulganbatjargal', 'davaanaa0101', 'baagii_homie', 'billy888', 'bganaabganaa1998', 'n.batkaa', 'nyamjantsan'}","{'27.123.212.136', '119.40.99.2'}"
4,2018-02-26,2018-03-01,105.0,46.0,"{'x.ganerdene123', 'zulaa95', 'b.byambadorj', 'davaanaa0101', 'davaa23', 'davaanaa010101', 'bz_5657', 'n.batkaa'}",{'119.40.99.2'}
5,2018-03-05,2018-03-08,105.0,46.0,"{'battulga9192', 'amraa061', 'b.buynaa01', 'davaanaa010101', 'ganguye', 'bganaabganaa1998'}",{'119.40.99.2'}
6,2018-03-11,2018-03-16,145.06705445289612,-37.722007789611816,"{'raf802', 'sarahbamford_97', 'alaleh', 'amandeep', 'emmyg', 'seeyoong', 'lre', 'svkal001', 'adkro001', 'sohard', 'wedad_almutairi'}","{'149.144.150.168', '110.174.172.19', '110.175.56.203', '131.172.84.180', '131.172.91.173', '131.172.90.235', '149.144.240.206', '131.172.132.164', '131.172.30.177'}"
7,2018-03-12,2018-03-16,-5.978899955749512,37.383399963378906,"{'jesuschaconmontero', 'eleni_ac', 'solitaso', 'mariano', 'abldvd', 'hansinivaswani', 'claudiagalindo', 'galfa', 'samgalv', 'alberto_ct_96', 'andermoren', 'juanrh96', 'angyrom8', 'martaalvarezdominguez', 'maclopveg', 'acasgar17', 'andreazaccaria', 'gines', 'anxela', 'fernandoserranoperez94', 'miguelhernandezcamacho'}",{'150.214.142.96'}
8,2018-03-15,2018-03-22,-115.14100266633505,36.11907087688998,"{'fristerc', 'smithb25', 'munguia4', 'tuqueroe', 'patelp3', 'dingal', 'reekj', 'morgaj7', 'butlerk2', 'cordom1', 'morga', 'aragom1', 'lasseb1', 'marqua2', 'sama1', 'djgraziano', 'fredsteven12', 'mccart2'}","{'71.222.1.226', '131.216.14.2', '131.216.14.19', '64.72.99.227', '71.38.129.235', '131.216.17.203', '131.216.14.21', '131.216.19.54', '71.53.189.110', '131.216.14.20', '24.253.97.85', '131.216.14.3', '70.189.163.28', '98.164.160.93', '98.167.59.247', '71.38.102.99'}"
