sim_12_trail
0
0
133
199
244
263
275
293
389
443
501
554
588
797
920
927
860
846
844
832
833
841
800
762
700
678
676
660
405
428
434
443
483
524
542
519
495
516
872
891
862
853
862
866
980
1018
1025
1039
990
995
1018
1076
1020
827
903
905
1044
1087
1134
1127
1054
1136
1199
1149
1117
1129
1113
1201
1310
1394
1558
1681
1679
1908
2165
2405
2545
2709
2969
3072
3406
3581
4080
4301
4363
4912
5267
5488
5572
5711
5697
5794
5851
6031
6034
5959
5956
6320
6364
6332
6314
6292
6338
6383
6410
6531
6866
6808
6875
7284
7072
7216
7065
6956
6919
6835
6958
7350
7536
7414
7420
7997
8352
8230
8154
8380
8521
8662
8886
9396
9898
9923
9811
10026
10716
10544
10538
10479
10517
10510
10703
10983
11349
11157
10900
11660
11890
11965
11794
11771
11798
11969
12077
12540
12507
12336
12123
12329
12799
12778
12548
12450
12448
12418
12714
13410
13517
13547
13115
13403
13510
13488
13128
12841
12677
12393
12317
12583
12638
12304
12112
12487
12373
12632
12244
12028
11968
12137
12447
13191
13474
13289
13050
13110
13088
13165
13199
13246
13486
13740
14223
14901
15148
15548
15335
15566
16009
16151
15843
15863
15901
15966
16524
16897
16930
16635
16194
16442
16382
16130
16135
16097
15984
16393
16691
16825
17363
17084
16766
17023
17204
17479
17453
17370
17350
17121
17110
17290
17463
17268
16603
16865
16812
17221
17777
18112
18808
18884
19540
20193
21071
21684
21889
22747
23490
23779
23399
23090
22604
22632
23035
23481
23032
23071
22314
22711
21991
20124
18031
15791
14272
13033
11773
10361
8808
6542
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
