,year_month,clustered_track,self_track
85,2007-02-01,2042,2866
86,2007-03-01,2223,3041
87,2007-04-01,2307,3178
88,2007-05-01,2281,3288
89,2007-06-01,2321,3387
90,2007-07-01,2307,3387
91,2007-08-01,2378,3413
92,2007-09-01,2362,3486
93,2007-10-01,2428,3600
94,2007-11-01,2383,3648
95,2007-12-01,2281,3676
96,2008-01-01,2236,3718
97,2008-02-01,2524,3794
98,2008-03-01,2516,3863
99,2008-04-01,2459,3881
100,2008-05-01,2449,3880
101,2008-06-01,2442,3860
102,2008-07-01,2434,3904
103,2008-08-01,2413,3984
104,2008-09-01,2409,4003
105,2008-10-01,2488,4055
106,2008-11-01,2731,4167
107,2008-12-01,2571,4238
108,2009-01-01,2564,4309
109,2009-02-01,2953,4337
110,2009-03-01,2705,4361
111,2009-04-01,2803,4405
112,2009-05-01,2627,4429
113,2009-06-01,2522,4426
114,2009-07-01,2536,4376
115,2009-08-01,2547,4281
116,2009-09-01,2709,4241
117,2009-10-01,3072,4270
118,2009-11-01,3280,4248
119,2009-12-01,3194,4212
120,2010-01-01,3221,4193
121,2010-02-01,3743,4248
122,2010-03-01,4005,4341
123,2010-04-01,3828,4398
124,2010-05-01,3649,4502
125,2010-06-01,3751,4625
126,2010-07-01,3764,4752
127,2010-08-01,3740,4917
128,2010-09-01,3773,5106
129,2010-10-01,4087,5301
130,2010-11-01,4339,5551
131,2010-12-01,4100,5813
132,2011-01-01,3872,5930
133,2011-02-01,3903,6114
134,2011-03-01,4457,6249
135,2011-04-01,4197,6336
136,2011-05-01,4175,6349
137,2011-06-01,4043,6423
138,2011-07-01,4069,6435
139,2011-08-01,4056,6440
140,2011-09-01,4225,6461
141,2011-10-01,4475,6492
142,2011-11-01,4809,6523
143,2011-12-01,4685,6454
144,2012-01-01,4395,6484
145,2012-02-01,5128,6507
146,2012-03-01,5386,6600
147,2012-04-01,5265,6694
148,2012-05-01,4925,6860
149,2012-06-01,4807,6953
150,2012-07-01,4774,7019
151,2012-08-01,4863,7091
152,2012-09-01,4963,7113
153,2012-10-01,5384,7144
154,2012-11-01,5295,7203
155,2012-12-01,5079,7310
156,2013-01-01,4854,7256
157,2013-02-01,5022,7333
158,2013-03-01,5253,7524
159,2013-04-01,5276,7477
160,2013-05-01,5005,7518
161,2013-06-01,4835,7592
162,2013-07-01,4796,7628
163,2013-08-01,4737,7655
164,2013-09-01,4918,7771
165,2013-10-01,5503,7878
166,2013-11-01,5512,7971
167,2013-12-01,5521,7990
168,2014-01-01,5176,7902
169,2014-02-01,5449,7916
170,2014-03-01,5600,7868
171,2014-04-01,5444,8000
172,2014-05-01,5130,7959
173,2014-06-01,5032,7766
174,2014-07-01,5005,7625
175,2014-08-01,4957,7387
176,2014-09-01,4984,7278
177,2014-10-01,5279,7235
178,2014-11-01,5364,7207
179,2014-12-01,5069,7162
180,2015-01-01,4884,7155
181,2015-02-01,5196,7216
182,2015-03-01,5069,7230
183,2015-04-01,5348,7210
184,2015-05-01,5069,7104
185,2015-06-01,4999,6964
186,2015-07-01,5057,6850
187,2015-08-01,5097,6982
188,2015-09-01,5265,7130
189,2015-10-01,5882,7272
190,2015-11-01,6141,7294
191,2015-12-01,6085,7169
192,2016-01-01,5905,7112
193,2016-02-01,6038,7041
194,2016-03-01,6019,7056
195,2016-04-01,6152,7033
196,2016-05-01,6092,7120
197,2016-06-01,5967,7266
198,2016-07-01,5928,7548
199,2016-08-01,6200,7515
200,2016-09-01,6577,7646
201,2016-10-01,7144,7785
