,track
0,0
1,0
2,8
3,11
4,13
5,14
6,15
7,17
8,21
9,24
10,24
11,25
12,27
13,33
14,35
15,36
16,39
17,39
18,36
19,35
20,37
21,37
22,39
23,40
24,39
25,37
26,35
27,34
28,31
29,37
30,38
31,38
32,39
33,43
34,48
35,50
36,50
37,55
38,60
39,58
40,61
41,60
42,61
43,59
44,61
45,62
46,60
47,62
48,61
49,63
50,64
51,64
52,61
53,62
54,66
55,65
56,66
57,69
58,76
59,73
60,80
61,90
62,93
63,98
64,100
65,99
66,100
67,108
68,118
69,122
70,128
71,140
72,154
73,162
74,167
75,178
76,189
77,210
78,228
79,236
80,248
81,267
82,278
83,289
84,289
85,300
86,316
87,321
88,330
89,336
90,341
91,344
92,349
93,355
94,361
95,358
96,360
97,358
98,358
99,366
100,371
101,366
102,362
103,362
104,368
105,382
106,384
107,386
108,390
109,394
110,393
111,390
112,394
113,390
114,388
115,383
116,384
117,388
118,397
119,391
120,390
121,387
122,400
123,409
124,413
125,426
126,432
127,434
128,439
129,446
130,447
131,445
132,444
133,449
134,453
135,450
136,444
137,456
138,448
139,446
140,450
141,453
142,445
143,445
144,443
145,451
146,458
147,458
148,464
149,464
150,471
151,479
152,490
153,489
154,497
155,496
156,496
157,500
158,515
159,514
160,510
161,512
162,507
163,492
164,497
165,505
166,511
167,502
168,495
169,502
170,503
171,500
172,496
173,489
174,489
175,485
176,490
177,498
178,507
179,501
