,nhid
2496,156973
2497,263532
2498,321397
2499,131392
2500,13753
2501,7942
2502,12129
2503,205261
2504,3923
2505,8966
2506,13705
2507,10992
2508,14869
2509,98849
2510,77656
2511,8248
2512,3528
2513,54883
2514,54884
2515,67259
2516,68278
2517,268119
2518,80171
2519,161320
2520,21765
2521,40426
2522,148858
2523,199712
2524,115014
2525,275063
2526,16245
2527,5658
2528,5774
2529,8529
2530,21311
2531,126406
2532,139781
2533,160452
2534,205623
2535,224667
2536,72949
2537,123546
2538,206113
2539,278092
2540,197260
2541,29521
2542,65319
2543,88394
2544,148080
2545,173363
2546,177360
2547,193751
2548,203151
2549,204790
2550,223552
2551,273709
2552,308293
2553,308717
2554,312368
2555,313533
2556,3479
2557,84236
2558,90224
2559,29569
2560,53151
2561,41745
2562,55151
2563,219879
2564,12173
2565,4537
2566,4571
2567,10515
2568,342290
2569,160533
2570,163667
2571,281782
2572,9108
2573,47930
2574,102189
2575,39471
2576,17841
2577,79780
2578,40042
2579,43329
2580,63437
2581,54660
2582,102978
2583,56173
2584,4123
2585,281031
2586,17789
2587,3868
2588,96977
2589,291236
2590,59909
2591,81496
2592,98334
2593,281103
2594,282567
2595,5807
2596,82368
2597,267802
2598,63852
2599,39495
2600,69411
2601,10617
2602,220135
2603,218172
2604,33416
2605,48410
2606,266659
2607,137558
2608,20788
2609,54839
2610,89101
2611,133892
2612,2640
2613,171730
2614,292007
2615,11179
2616,89635
2617,160867
2618,270202
2619,152571
2620,275747
2621,20031
2622,23223
2623,86508
2624,140136
2625,99730
2626,10858
2627,51621
2628,46487
2629,281969
2630,336770
2631,133103
2632,154308
2633,4241
2634,39975
2635,60998
2636,110186
2637,10676
2638,2053
2639,15868
2640,20168
2641,22960
2642,178806
2643,30739
2644,278438
2645,211781
2646,22047
2647,57301
2648,71347
2649,277358
2650,277410
2651,277411
2652,290489
2653,14521
2654,9293
2655,30103
2656,149814
2657,53662
2658,55531
2659,65222
2660,196879
2661,196881
2662,272275
2663,311367
2664,324942
2665,345726
2666,16310
2667,33877
2668,16410
2669,20998
2670,79155
2671,69196
2672,213143
2673,100467
2674,201124
2675,231948
2676,159110
2677,3916
2678,218370
2679,54902
2680,25419
2681,8687
2682,175029
2683,55813
2684,66075
2685,167778
2686,8957
2687,10733
2688,10734
2689,10735
2690,16033
2691,45044
2692,13250
2693,1718
2694,9329
2695,77676
2696,127701
2697,172802
2698,8105
2699,8971
2700,61678
2701,104058
2702,286104
2703,44011
2704,16120
2705,121065
2706,85680
2707,154322
2708,5485
2709,8123
2710,22185
2711,24778
2712,14773
2713,22824
2714,13570
2715,38674
2716,8629
2717,9409
2718,156914
2719,306731
2720,307552
2721,52870
2722,20857
2723,2143
2724,10908
2725,10909
2726,10910
2727,10911
2728,10912
2729,10922
2730,11107
2731,21873
2732,34423
2733,35559
2734,35565
2735,67777
2736,231803
2737,50442
2738,38218
2739,46379
2740,14234
2741,166038
2742,263720
2743,268591
2744,82032
2745,73164
2746,64584
2747,350530
2748,110731
2749,41585
2750,61692
2751,136999
2752,56270
2753,113501
2754,9840
2755,282941
2756,140426
2757,21852
2758,339928
2759,199760
2760,149658
2761,10612
2762,308507
2763,4669
2764,24741
2765,292578
2766,21153
2767,29837
2768,174933
2769,45785
2770,20087
2771,107698
2772,107699
2773,37136
2774,351121
2775,34623
2776,42163
2777,78371
2778,92879
2779,103277
2780,135287
2781,136465
2782,204540
2783,263639
2784,319481
2785,74630
2786,79978
2787,112148
2788,73092
2789,8622
2790,9908
2791,167917
2792,168342
2793,53950
2794,95352
2795,129847
2796,135927
2797,144483
2798,198176
2799,346910
2800,8712
2801,332891
2802,147790
2803,316661
2804,44336
2805,43161
2806,30268
2807,100100
2808,214513
2809,61810
2810,57380
2811,170898
2812,196229
2813,22818
2814,7894
2815,7895
2816,28824
2817,281677
2818,26443
2819,176822
2820,268943
2821,337482
2822,199495
2823,199502
2824,330548
2825,38299
2826,70299
2827,117034
2828,166595
2829,272453
2830,278749
2831,71834
2832,28869
2833,197397
2834,6114
2835,114929
2836,126399
2837,2244
2838,7902
2839,43764
2840,13738
2841,99425
2842,14438
2843,14439
2844,199797
2845,5687
2846,32645
2847,37208
2848,47255
2849,178319
2850,12718
2851,279132
2852,2558
2853,4164
2854,6115
2855,21974
2856,44651
2857,54892
2858,66617
2859,87105
2860,122459
2861,147602
2862,154180
2863,169562
2864,191728
2865,232978
2866,233169
2867,275604
2868,282464
2869,287342
2870,331735
2871,3642
2872,12966
2873,56042
2874,64181
2875,65178
2876,68038
2877,68779
2878,103817
2879,138921
2880,181554
2881,226501
2882,332957
2883,129683
2884,233291
2885,30369
2886,123951
2887,350587
2888,172122
2889,286815
2890,288375
2891,34868
2892,119093
2893,38306
2894,27787
2895,27829
2896,54790
2897,122214
2898,124759
2899,198318
2900,231884
2901,257906
2902,285331
2903,312804
2904,327495
2905,107826
2906,108464
2907,78349
2908,79964
2909,69647
2910,19389
2911,338531
2912,30512
2913,25017
2914,258973
2915,269189
2916,10467
2917,36121
2918,59631
2919,67190
2920,269405
2921,46357
2922,4572
2923,8129
2924,34918
2925,87752
2926,108724
2927,127365
2928,147275
2929,161913
2930,291405
2931,68285
2932,69420
2933,91069
2934,92700
2935,156915
2936,222840
2937,324563
2938,337645
2939,21890
2940,34158
2941,38777
2942,191734
2943,266539
2944,227186
2945,274180
2946,294208
2947,21523
2948,36534
2949,88581
2950,69833
2951,170533
2952,30386
2953,56960
2954,16071
2955,105974
2956,26500
2957,353171
2958,42431
2959,82389
2960,55515
2961,90971
2962,54752
2963,105945
2964,107188
2965,11124
2966,15601
2967,340364
2968,35862
2969,96846
2970,169179
2971,186973
2972,348233
2973,128998
2974,129056
2975,28558
2976,299487
2977,14113
2978,111105
2979,258568
2980,269297
2981,53569
2982,67728
2983,117326
2984,261917
2985,326721
2986,272424
2987,17518
