user,class_id,parti_rate
zhangyuuc,9,1.0
jhbahk,9,0.75
achu0393,9,0.875
prabhakar.radhika3,9,0.5
daotm,9,0.5
yashmehta23,9,1.0
johnlohrer,9,0.125
madhavsn,9,0.375
cuddalkv,9,1.0
prabhara,9,0.25
09kramerro,9,0.5
wqx1331,9,0.875
alabaolumide1,9,1.0
kramerrb,9,0.25
radhika30,9,0.25
ankit2492,9,1.0
am7155,10,1.0
kiehlgroup,10,1.0
bonecrusher,10,1.0
tulika91,10,1.0
xchen215,10,1.0
guibinsong,10,1.0
komalparmar19,11,1.0
aishwaryamehta95,11,1.0
riyakhetan15,11,1.0
n.vidhi09,11,1.0
prateiknanaware07,11,1.0
mmeeradholakia2694,12,0.5
aks94,12,0.5
neharane2665,12,1.0
bhanushaliparth1,12,0.5
dkbathe29,12,0.5
ajaykumarjadhav17,12,1.0
amolsb,12,0.5
qshehbaz,12,0.5
mendozaj,13,1.0
cbailey93,13,0.3333333333333333
ndiez,13,1.0
ndirocco,13,1.0
znw2,13,1.0
jpanikulam,13,1.0
teddyj,13,1.0
linglin,13,1.0
sanchez.franklin.27,13,1.0
eoberlaender,13,1.0
skit13,13,0.6666666666666666
brikman23,13,0.6666666666666666
klborowski,13,0.3333333333333333
avera0513,13,0.3333333333333333
khalidalzayed,13,0.6666666666666666
anvera0513,13,1.0
amissiego,13,1.0
georgehma,14,1.0
lhossain,14,1.0
nbiekert,14,1.0
bix006,14,1.0
jyh063,14,1.0
yyg0102,14,1.0
raihanbd89,14,1.0
pritesh1990,14,1.0
yay079,14,1.0
brettkercher,14,1.0
p1jain,14,1.0
chh162,14,1.0
kevmoses,14,1.0
rfukuda,14,1.0
zhelin.sun,14,1.0
eeggooss,14,1.0
uditparekh,14,1.0
fahykt,14,1.0
stocknerd,14,1.0
bhabalsamiksha.12,15,0.3333333333333333
ashwinichatuphale,15,0.3333333333333333
navajsharikmaslat,15,0.3333333333333333
shettysachin824,15,0.3333333333333333
avinashsakore27,15,0.3333333333333333
akshatagage51,15,1.0
richa.chandra94,15,0.6666666666666666
vedesh,15,0.3333333333333333
shipradas03,15,1.0
mohitingale5,15,0.3333333333333333
motkuri62,15,0.3333333333333333
vvkpatil,15,0.3333333333333333
dipti.darvesh040,15,0.3333333333333333
dadhichpatil,15,0.3333333333333333
prafull.13694,15,0.3333333333333333
mandarsgg,15,0.6666666666666666
milind1995,15,0.3333333333333333
bhabalsamiksha.12,16,1.0
mandarsgg,16,0.6666666666666666
navajsharikmaslat,16,0.6666666666666666
shettysachin824,16,0.6666666666666666
avinashsakore27,16,0.6666666666666666
akshatagage51,16,0.3333333333333333
richa.chandra94,16,0.3333333333333333
shipradas03,16,0.6666666666666666
mohitingale5,16,0.3333333333333333
dipti.darvesh040,16,0.3333333333333333
dadhichpatil,16,0.3333333333333333
motkuri62,16,0.3333333333333333
milind1995,16,0.3333333333333333
paula.osorio2222,17,0.6666666666666666
jeissoncz,17,0.5
n2ea,17,0.5
menesesleonardo,17,0.5
juanma.lovera,17,0.6666666666666666
andrez.tc,17,0.6666666666666666
juancho_9321,17,0.3333333333333333
toromateoc,17,1.0
s.arevalo26,17,0.3333333333333333
ha.tapia10,17,0.5
la.avendano10,17,0.3333333333333333
jdvg0805,17,0.3333333333333333
fernel94,17,0.5
jl.mayorga236,17,0.3333333333333333
anonimomath,17,0.6666666666666666
felipe.forerome,17,0.16666666666666666
henryr9708,17,0.5
alexmurcia96,17,0.3333333333333333
phelep22,17,0.5
madb,17,0.16666666666666666
manuel_prom,17,0.16666666666666666
sebasmxq,17,0.3333333333333333
mangomela,17,0.6666666666666666
fabiant970,17,0.5
sergioalvarez12,17,0.3333333333333333
sergiocamilo97,17,0.5
camon93,17,0.3333333333333333
davidan_pino,17,0.3333333333333333
rz.carlos10,17,0.16666666666666666
azambrano13,17,1.0
crisdavbed08,17,0.3333333333333333
andfe,17,0.6666666666666666
nan123214,17,1.0
juanbaquero,17,0.3333333333333333
miguelangeldaza,17,0.5
williamrodriguezcruz1819,17,0.3333333333333333
cpotdevin,17,0.3333333333333333
juanfdo96,17,0.5
jphc64,17,0.6666666666666666
jassonmolina,17,0.6666666666666666
anfepe12,17,0.5
sereta27,17,0.16666666666666666
begarishashidhar,18,1.0
krrish2028,18,1.0
swaroopamaloth19,18,1.0
krrish2025,18,1.0
swapnalikitha,18,1.0
vijendhar335,18,1.0
ychandrashekar22,18,1.0
venkee.ramesh,18,1.0
sankeshi.supraja,18,1.0
suchan.naresh,18,1.0
vivekvictorious02,18,1.0
nupadhyay,19,0.6666666666666666
xueling,19,1.0
navnidhi.01,19,0.16666666666666666
jagujiobi,19,0.8333333333333334
vdusetty,19,0.6666666666666666
abhishekkuma,19,0.8333333333333334
aksamija,19,0.5
rkwende,19,0.5
john13ben,19,0.3333333333333333
cam.foss,19,0.5
yujiatang,19,0.3333333333333333
cmerola,19,1.0
cjfoss,19,0.6666666666666666
asaranat,19,1.0
dgmakris,19,0.3333333333333333
