user,tool,start,end,ip,lon,lat
01joeeoj10,abacus,2016-04-14,2016-04-18,37.26.253.36,-6.51669979095459,37.26470184326172
02.nitin,memristor,2016-04-07,2016-04-11,116.74.34.155,75.83329772949219,22.717899322509766
02junho,ucb_compnano,2016-05-22,2016-05-27,119.70.55.154,126.72879791259766,37.456199645996094
02junho,ucb_compnano,2016-05-02,2016-05-17,119.70.55.154,126.72879791259766,37.456199645996094
02junho,ucb_compnano,2016-05-02,2016-05-17,147.46.233.165,126.97830200195312,37.5984992980957
02junho,ucb_compnano,2016-05-02,2016-05-17,59.0.43.33,126.9740982055664,37.511199951171875
02junho,qclab,2016-05-02,2016-05-06,147.46.233.165,126.97830200195312,37.5984992980957
02junho,nuitns,2016-05-09,2016-05-13,119.70.55.154,126.72879791259766,37.456199645996094
09kramerro,thermo,2016-04-17,2016-04-21,129.137.208.57,-84.53700256347656,39.16999816894531
09kramerro,thermo,2016-04-03,2016-04-07,66.42.227.36,-84.52909851074219,39.28990173339844
09kramerro,thermo,2016-03-06,2016-03-10,66.42.227.36,-84.52909851074219,39.28990173339844
09kramerro,thermo,2016-03-01,2016-03-05,129.137.206.254,-84.53700256347656,39.16999816894531
09kramerro,thermo,2016-02-23,2016-02-27,129.137.206.254,-84.53700256347656,39.16999816894531
09kramerro,thermo,2016-02-09,2016-02-13,129.137.173.94,-84.53700256347656,39.16999816894531
09kramerro,tedev,2016-04-17,2016-04-21,129.137.208.57,-84.53700256347656,39.16999816894531
09kramerro,tedev,2016-04-03,2016-04-07,66.42.227.36,-84.52909851074219,39.28990173339844
09kramerro,btesolver,2016-04-17,2016-04-21,129.137.208.57,-84.53700256347656,39.16999816894531
09kramerro,btesolver,2016-04-10,2016-04-14,66.42.227.36,-84.52909851074219,39.28990173339844
09kramerro,advte,2016-04-17,2016-04-21,129.137.208.57,-84.53700256347656,39.16999816894531
123.shripal,abinit,2016-02-16,2016-02-21,103.21.127.81,72.88259887695312,19.072799682617188
1234567_890,mosfet,2016-01-22,2016-01-27,152.3.43.164,-78.89550018310547,35.99679946899414
1234567_890,mosfet,2016-01-22,2016-01-27,24.163.114.31,-78.53759765625,35.98249816894531
1234567_890,nanocmos,2016-01-30,2016-02-03,24.163.114.31,-78.53759765625,35.98249816894531
13mseestirmizi,rtdnegf,2016-04-18,2016-04-22,121.52.154.83,68.8573989868164,27.7052001953125
1501213903dasddasd,mosfetsat,2016-03-11,2016-03-16,58.60.1.117,114.13330078125,22.533300399780273
1501213903dasddasd,mosfetsat,2016-03-11,2016-03-16,58.60.1.56,114.13330078125,22.533300399780273
1501213903dasddasd,amobt,2016-03-11,2016-03-15,58.60.1.117,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.9,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.4,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.86,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.96,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.78,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.56,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.106,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.8,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.21,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.17,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.28,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.38,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.88,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.92,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.108,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.18,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.115,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.42,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.117,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.40,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.30,114.13330078125,22.533300399780273
1501213903dasddasd,workspace,2016-03-11,2016-04-14,58.60.1.60,114.13330078125,22.533300399780273
1501213903dasddasd,dftqe,2016-04-06,2016-04-10,58.60.1.60,114.13330078125,22.533300399780273
1501213903dasddasd,dftqe,2016-03-11,2016-03-16,58.60.1.56,114.13330078125,22.533300399780273
1501213903dasddasd,bjt,2016-03-19,2016-03-23,58.60.1.8,114.13330078125,22.533300399780273
1501213903dasddasd,bjt,2016-03-16,2016-03-20,58.60.1.42,114.13330078125,22.533300399780273
1501213903dasddasd,bjt,2016-03-16,2016-03-20,58.60.1.45,114.13330078125,22.533300399780273
1501213903dasddasd,gnrinterconnect,2016-03-23,2016-03-27,58.60.1.108,114.13330078125,22.533300399780273
