,track
0,0
1,0
2,6
3,7
4,10
5,11
6,13
7,13
8,15
9,17
10,17
11,17
12,18
13,22
14,23
15,24
16,25
17,25
18,25
19,25
20,26
21,26
22,26
23,26
24,27
25,28
26,28
27,28
28,29
29,33
30,33
31,34
32,34
33,36
34,39
35,39
36,40
37,40
38,45
39,46
40,49
41,50
42,50
43,50
44,51
45,51
46,52
47,53
48,53
49,53
50,55
51,58
52,59
53,59
54,59
55,60
56,67
57,71
58,74
59,75
60,77
61,87
62,92
63,96
64,98
65,101
66,106
67,108
68,120
69,130
70,143
71,155
72,166
73,180
74,194
75,204
76,220
77,235
78,246
79,255
80,285
81,309
82,342
83,380
84,398
85,444
86,474
87,511
88,539
89,562
90,589
91,606
92,626
93,659
94,707
95,763
96,798
97,1306
98,1677
99,1811
100,2070
101,2160
102,2206
103,2322
104,2364
105,2516
106,2868
107,3048
108,3160
109,3634
110,3879
111,4140
112,4326
113,4390
114,4460
115,4556
116,4729
117,5182
118,5530
119,5835
120,6005
121,6637
122,7081
123,7463
124,7619
125,7847
126,7974
127,8070
128,8156
129,8598
130,9051
131,9492
132,9625
133,9893
134,10699
135,11043
136,11435
137,11629
138,11793
139,11920
140,12127
141,12510
142,13080
143,13616
144,13740
145,14573
146,15189
147,15588
148,15945
149,16174
150,16316
151,16539
152,16714
153,17351
154,17620
155,18142
156,18281
157,18723
158,19651
159,20029
160,20427
161,20586
162,20729
163,20904
164,21194
165,22021
166,22436
167,23067
