,track
0,0
1,0
2,3
3,4
4,7
5,7
6,7
7,7
8,8
9,10
10,10
11,10
12,10
13,11
14,11
15,11
16,7
17,7
18,6
19,5
20,6
21,7
22,7
23,7
24,7
25,7
26,7
27,7
28,8
29,8
30,8
31,8
32,8
33,8
34,9
35,8
36,7
37,8
38,12
39,12
40,12
41,12
42,12
43,12
44,12
45,12
46,13
47,13
48,13
49,13
50,13
51,15
52,13
53,12
54,12
55,12
56,14
57,13
58,14
59,14
60,14
61,18
62,19
63,18
64,18
65,18
66,20
67,21
68,25
69,26
70,32
71,34
72,36
73,43
74,46
75,47
76,49
77,53
78,58
79,61
80,69
81,76
82,87
83,109
84,110
85,130
86,135
87,142
88,151
89,156
90,163
91,163
92,168
93,188
94,197
95,188
96,192
97,605
98,820
99,878
100,1021
101,1057
102,1062
103,1120
104,1128
105,1211
106,1490
107,1590
108,1644
109,1986
110,1700
111,1755
112,1690
113,1627
114,1655
115,1657
116,1755
117,1986
118,2148
119,2083
120,2118
121,2586
122,2792
123,2613
124,2524
125,2623
126,2655
127,2630
128,2661
129,2882
130,3126
131,2917
132,2785
133,2757
134,3171
135,2886
136,2845
137,2727
138,2758
139,2726
140,2834
141,2996
142,3303
143,3207
144,3010
145,3574
146,3684
147,3537
148,3335
149,3349
150,3346
151,3436
152,3520
153,3864
154,3761
155,3644
156,3492
157,3544
158,3630
159,3669
160,3522
161,3424
162,3399
163,3331
164,3484
165,3942
166,3957
167,3994
168,3717
169,3826
170,3907
171,3814
172,3618
173,3601
174,3620
175,3566
176,3551
177,3784
178,3857
179,3640
180,3503
181,3715
182,3593
183,3835
184,3692
185,3648
186,3690
187,3727
188,3881
189,4268
190,4473
191,4451
